"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"PUT","/services/5/features/13",67,0,25,29,8,105,0,0.20,0.00,25,30,34,36,42,52,84,110,110,110,110,110
"PUT","/services/5/features/14",67,0,24,31,10,168,0,0.20,0.00,24,32,34,38,59,63,96,170,170,170,170,170
"PUT","/services/5/features/15",67,0,32,37,5,179,0,0.20,0.00,32,37,42,47,73,110,160,180,180,180,180,180
"PUT","/services/5/features/16",67,0,26,32,8,112,0,0.20,0.00,26,30,41,44,63,86,99,110,110,110,110,110
"PUT","/services/5/features/17",67,0,28,31,8,138,0,0.20,0.00,28,32,36,40,48,61,82,140,140,140,140,140
"PUT","/services/5/features/4",67,0,27,28,7,62,0,0.20,0.00,27,33,36,36,45,54,55,62,62,62,62,62
"PUT","/services/5/features/9",67,0,28,32,6,111,0,0.20,0.00,28,33,37,42,62,71,110,110,110,110,110,110
"PUT","/services/6/features/10",65,0,25,30,3,115,0,0.20,0.00,25,29,34,41,51,69,97,120,120,120,120,120
"PUT","/services/6/features/11",65,0,26,32,10,125,0,0.20,0.00,26,32,36,44,55,61,75,130,130,130,130,130
"PUT","/services/6/features/12",65,0,28,30,5,103,0,0.20,0.00,28,34,38,41,46,57,81,100,100,100,100,100
"PUT","/services/6/features/13",65,0,23,25,4,54,0,0.20,0.00,23,27,31,36,45,48,51,54,54,54,54,54
"PUT","/services/6/features/14",65,0,27,30,9,73,0,0.20,0.00,27,34,38,41,47,54,65,73,73,73,73,73
"PUT","/services/6/features/15",65,0,26,30,6,89,0,0.20,0.00,26,33,38,41,47,54,82,89,89,89,89,89
"PUT","/services/6/features/16",65,0,29,32,3,150,0,0.20,0.00,29,34,39,41,45,56,64,150,150,150,150,150
"PUT","/services/6/features/17",65,0,30,32,7,78,0,0.20,0.00,30,35,39,43,52,61,70,78,78,78,78,78
"PUT","/services/6/features/4",66,0,26,32,4,145,0,0.20,0.00,26,32,34,37,48,71,110,150,150,150,150,150
"PUT","/services/6/features/9",66,0,31,36,3,156,0,0.20,0.00,31,35,42,45,63,74,130,160,160,160,160,160
"PUT","/services/7/features/10",65,0,25,28,3,98,0,0.20,0.00,25,31,33,36,41,45,63,98,98,98,98,98
"PUT","/services/7/features/11",65,0,28,31,6,100,0,0.20,0.00,28,32,35,41,47,59,85,100,100,100,100,100
